color_name,red,green,blue
Black,0,0,0
White,255,255,255
Red,255,0,0
Green,0,255,0
Blue,0,0,255
Yellow,255,255,0
Cyan / Aqua,0,255,255
Pink,255,0,255
Orange,255,165,0
Green,0,128,0
